label,alpha,fa_target,TA,FA,RA,MIA
B_fa_1,5.0,1.0,84.13,0.68,96.54,0.4977
B_fa_5,5.0,5.0,84.68,4.16,96.97,0.4974
B_fa_10,5.0,10.0,85.38,9.52,97.3,0.5058
B_fa_20,5.0,20.0,86.22,17.9,97.38,0.5051
B_fa_30,5.0,30.0,87.6,29.92,97.44,0.4993
