label,alpha,fa_target,TA,FA,RA,MIA
A_alpha_1.5,1.5,10.0,85.38,9.52,97.31,0.5058
A_alpha_2,2.0,10.0,85.37,9.52,97.3,0.5058
A_alpha_3,3.0,10.0,85.37,9.52,97.31,0.5058
A_alpha_5,5.0,10.0,85.37,9.52,97.31,0.5058
A_alpha_10,10.0,10.0,85.38,9.52,97.3,0.5058
A_alpha_9999,9999.0,10.0,85.38,9.52,97.3,0.5058
